date,home,away,actual,model_prob_home,model_prob_draw,model_prob_away,implied_prob_home,implied_prob_draw,implied_prob_away,log_loss,flagged_value,flagged_side,edge,pnl,home_known,away_known
2020-12-19,Southampton,Man City,A,0.17518619542193842,0.19385662367094475,0.6309571809071168,0.1348314606741573,0.2097378277153558,0.6554307116104868,0.46051727784469804,False,,0.04035473474778112,,True,True
2020-12-19,Crystal Palace,Liverpool,A,0.1487374912056544,0.20689493465739997,0.6443675741369457,0.14631673800405498,0.2196440639783735,0.6340391980175715,0.43948594841008704,False,,0.010328376119374205,,True,True
2020-12-20,Brighton,Sheffield United,D,0.3993922909356965,0.3274868034159875,0.273120905648316,0.5747126436781609,0.2528735632183908,0.17241379310344826,1.1163075196317074,True,A,0.10070711254486772,-1.0,True,True
2020-12-20,West Brom,Aston Villa,A,0.21218785180218946,0.24429863433775906,0.5435135138600514,0.263607257203842,0.2497331910352187,0.4866595517609391,0.6097007082220753,True,A,0.05685396209911231,0.95,True,True
2020-12-20,Tottenham,Leicester,A,0.4466893296461685,0.25236650437827196,0.3009441659755593,0.46400294605045106,0.27177315411526415,0.2642238998342846,1.2008305265374144,False,,0.03672026614127466,,True,True
2020-12-20,Man United,Leeds,H,0.656034598939127,0.18821728257903017,0.1557481184818429,0.5706913317009736,0.21878697704933397,0.21052169124969247,0.4215417491436189,True,H,0.08534326723815333,0.6599999999999999,True,True
2020-12-21,Chelsea,West Ham,H,0.5541659630660773,0.2134070373406407,0.23242699959328206,0.6585879873551107,0.1896733403582719,0.15173867228661753,0.5902910647762423,True,A,0.08068832730666453,-1.0,True,True
2020-12-21,Burnley,Wolves,H,0.2626656862318057,0.32420606257497664,0.41312825119321783,0.2726406101048618,0.2936129647283127,0.43374642516682554,1.336873210419363,False,,0.03059309784666392,,True,True
2020-12-26,Fulham,Southampton,D,0.24516862157197045,0.2330317617375595,0.52179961669047,0.29753038024304196,0.28851430811446493,0.4139553116424932,1.45658051823647,True,A,0.10784430504797682,-1.0,True,True
2020-12-26,Leicester,Man United,D,0.3944748518346196,0.2522326580135544,0.35329249015182596,0.32611264277274515,0.26270185112248917,0.4111855061047657,1.3774033713147094,True,H,0.06836220906187446,-1.0,True,True
