bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,roi_ci_low,roi_ci_high,p_roi_le_0,model,strategy,ev_threshold
3212,1034,0.3219178082191781,3212.0,-115.58000000000001,-0.03598381070983811,4.120772104607721,0.2069474674542804,-188.73000000000005,-0.07690173610415887,0.001975578658547203,0.9702,Market logistic + isotonic,all_qualifying,0.02
2610,811,0.310727969348659,2610.0,-63.43999999999998,-0.02430651340996168,4.368088122605363,0.24681782077950798,-150.67000000000002,-0.07904298662477277,0.025890466500227218,0.8254,Market logistic + isotonic,all_qualifying,0.05
1921,564,0.29359708485163977,1921.0,-34.71,-0.018068714211348258,4.759484643414889,0.30905101336645285,-135.53,-0.09966997939860259,0.06010711873829954,0.6928,Market logistic + isotonic,all_qualifying,0.1
1428,389,0.27240896358543415,1428.0,-15.18,-0.010630252100840336,5.248872549019607,0.372919969555962,-95.05,-0.08660591827756643,0.05673775462230389,0.621,Market logistic + isotonic,all_qualifying,0.15
2940,810,0.2755102040816326,2940.0,-53.13000000000001,-0.018071428571428575,4.814816326530612,0.21813460176346394,-187.18000000000006,-0.08538843380329571,0.044265832029212304,0.7024,Market logistic + sigmoid,argmax,0.0
2641,708,0.2680802726240061,2641.0,-21.87000000000002,-0.008280954184021212,5.012801968951155,0.24175108444541135,-177.55,-0.08397740427912789,0.06131014666695268,0.5876,Market logistic + sigmoid,argmax,0.02
2223,563,0.2532613585245164,2223.0,-0.13999999999999346,-6.297795771479688e-05,5.357566351776877,0.28062895864185944,-155.92000000000002,-0.09919667590027702,0.09009838998211091,0.4952,Market logistic + sigmoid,argmax,0.05
1621,378,0.23318938926588526,1621.0,56.390000000000015,0.03478716841455892,6.087884022208514,0.3565103422558533,-112.39,-0.09842231099776957,0.15424104750970422,0.308,Market logistic + sigmoid,argmax,0.1
1191,257,0.21578505457598657,1191.0,81.43999999999998,0.06837951301427371,6.909605373635601,0.4407000932209307,-106.61999999999998,-0.133697646708847,0.2444132077516195,0.2558,Market logistic + sigmoid,argmax,0.15
3532,940,0.26613816534541335,3532.0,-161.0,-0.0455832389580974,5.165050962627406,0.19974394188843106,-224.7900000000001,-0.10006300435977977,-6.411761599258127e-05,0.9754,Market logistic + sigmoid,all_qualifying,0.0
3046,780,0.2560735390676297,3046.0,-94.69999999999999,-0.031089954038082727,5.478847669074195,0.2301747676648612,-209.27000000000004,-0.09873677415958469,0.030185555044588187,0.833,Market logistic + sigmoid,all_qualifying,0.02
2466,593,0.24047039740470397,2466.0,-38.03999999999999,-0.015425790754257904,5.937919708029197,0.27626489298594037,-176.41000000000003,-0.10317273957954619,0.0688585120172616,0.6282,Market logistic + sigmoid,all_qualifying,0.05
1774,391,0.22040586245772267,1774.0,37.889999999999986,0.021358511837655008,6.7335062006764375,0.354633664040421,-137.84,-0.11287319379067547,0.1331696931786126,0.361,Market logistic + sigmoid,all_qualifying,0.1
1311,266,0.2028985507246377,1311.0,70.94,0.0541113653699466,7.643279938977879,0.4364003090537754,-122.89999999999999,-0.13589283564477897,0.21252122621200376,0.274,Market logistic + sigmoid,all_qualifying,0.15
3164,1056,0.33375474083438683,3164.0,-184.02999999999997,-0.058163716814159286,4.018264854614412,0.20622492505873266,-223.3600000000001,-0.09081345858421981,-0.02751425599729014,1.0,Team + Market,argmax,0.0
2957,984,0.3327696990192763,2957.0,-124.27999999999999,-0.04202908353060534,4.070189381129523,0.21991595752375728,-169.63000000000017,-0.07706443964570428,-0.009457531845921976,0.997,Team + Market,argmax,0.02
2547,834,0.32744405182567726,2547.0,-82.80999999999999,-0.03251276010993325,4.196823714173537,0.24961993141384065,-156.55999999999995,-0.08855254608047147,0.02641999886505504,0.8596,Team + Market,argmax,0.05
1939,578,0.298091799896854,1939.0,-67.5,-0.03481175863847344,4.534424961320268,0.3047829690530349,-137.68999999999997,-0.09935176654172197,0.04282987419163092,0.8246,Team + Market,argmax,0.1
1447,402,0.2778161713890809,1447.0,-54.580000000000005,-0.037719419488597104,4.881085003455425,0.36654211241597867,-122.41,-0.12001116209342867,0.06626871682835153,0.78,Team + Market,argmax,0.15
3837,1277,0.33281209278081836,3837.0,-207.59999999999997,-0.0541047693510555,4.043606984623404,0.18322657955982707,-245.20000000000007,-0.09155494998412193,-0.01607089422230861,0.999,Team + Market,all_qualifying,0.0
3423,1129,0.3298276365761028,3423.0,-137.98999999999998,-0.04031259129418638,4.124688869412796,0.20416415241474098,-177.19,-0.07720056677426934,0.0021883151896859403,0.9684,Team + Market,all_qualifying,0.02
2832,915,0.3230932203389831,2832.0,-85.77000000000001,-0.030286016949152547,4.292560028248587,0.2394795801030219,-153.52000000000007,-0.07839754640642765,0.029526377286284794,0.8534,Team + Market,all_qualifying,0.05
2075,612,0.29493975903614456,2075.0,-70.03999999999999,-0.03375421686746988,4.655595180722892,0.29998856846466304,-137.53,-0.08988102147053266,0.04131344675060573,0.8354,Team + Market,all_qualifying,0.1
